date,ret_gross,cost,ret_net,turnover,spy,ewpool,n_held
2018-01-11,-0.005302256474687385,0.0012696999038562108,-0.006571956378543596,0.5,0.010600045671847802,0.00861585807831182,5
2018-01-12,-0.003581703680662551,0.000956597708063158,-0.004538301388725709,0.4,-0.004725407412752736,-0.0036495493481546893,5
2018-01-16,0.0016292470726410272,0.0005869933690050319,0.0010422537036359953,0.2,0.0052153153559484355,0.006308074011463562,5
2018-01-17,-0.003131836422635126,0.0004525224648771202,-0.003584358887512246,0.2,0.001144825614542766,0.0012999812224868286,5
2018-01-18,0.002168983597473995,0.0,0.002168983597473995,0.0,0.0013224560106073202,0.001433483939436197,5
2018-01-19,0.005110096949243514,0.0004781566805728037,0.004631940268670711,0.2,0.009173049707667635,0.006740328925150653,5
2018-01-22,0.0007600627423260954,0.0005054303481392246,0.00025463239418687083,0.2,0.0045266925474569675,0.004375960504849814,5
2018-01-23,-0.0020330310367842504,0.0010694286595265958,-0.003102459696310846,0.4,0.0004931202074689445,0.0014684336894458163,5
2018-01-24,0.0011512279934134282,0.00038751972417980734,0.000763708269233621,0.2,0.0003170330866058002,-0.001484651037880053,5
2018-01-25,0.004189113180255056,0.00045201132601706474,0.003737101854237991,0.2,0.0059094993757926595,0.00495681191140703,5
2018-01-26,-0.016054802326046416,0.0,-0.016054802326046416,0.0,-0.011645433227558288,-0.011327360074223693,5
2018-01-29,0.00250227648210144,0.0,0.00250227648210144,0.0,0.0004596842488797659,0.0018319416923581328,5
2018-01-30,-0.011036102576219141,0.0,-0.011036102576219141,0.0,-0.005871165234319964,-0.006448524732550659,5
2018-01-31,-0.00866841781349832,0.0,-0.00866841781349832,0.0,-0.0035221687729712903,-0.005321402497399254,5
2018-02-01,-0.018258890670016518,0.0005422738928345407,-0.01880116456285106,0.2,-0.02367189838161432,-0.02180895846541266,5
2018-02-02,-0.05216150069617656,0.001255720977595473,-0.05341722167377203,0.4,-0.04940564909055367,-0.0484030363444826,5
2018-02-05,-0.0033474008735555837,0.002296708248949451,-0.005644109122505035,0.8,0.03293060209876986,0.029103646800195337,5
2018-02-06,-0.005029207518162538,0.0,-0.005029207518162538,0.0,-0.0018248970978161916,-0.001600125684085773,5
2018-02-07,0.0011260828923233214,0.0,0.0011260828923233214,0.0,-0.026902203702062644,-0.026518654777080545,5
2018-02-08,0.021665875293174743,0.0,0.021665875293174743,0.0,0.011618440760335469,0.013164592346290308,5
2018-02-09,0.0038067047866233495,0.0,0.0038067047866233495,0.0,0.0005305240447315285,-0.00032051029941143795,5
2018-02-12,-0.0010617180521305559,0.0,-0.0010617180521305559,0.0,0.0012880658314138316,0.00126132299562523,5
2018-02-13,-0.0030494428804499485,0.0,-0.0030494428804499485,0.0,0.027467774751709362,0.026315694738283876,5
2018-02-14,0.01825702668262985,0.0,0.01825702668262985,0.0,0.00276166599558203,0.00285795747206389,5
2018-02-15,0.0027727305005929457,0.0,0.0027727305005929457,0.0,-0.0010649121239365567,-0.00217932341699835,5
2018-02-16,-0.006179277009140938,0.0,-0.006179277009140938,0.0,-0.0004780475241199511,-0.0009380666596371697,5
2018-02-20,-0.011135095361768023,0.0,-0.011135095361768023,0.0,-0.0029421649864733723,-0.003410403499769542,5
2018-02-21,0.0030304442498410465,0.0,0.0030304442498410465,0.0,0.002544964487686263,0.0019982933516065095,5
2018-02-22,0.031407685290693405,0.0,0.031407685290693405,0.0,0.015232452341647607,0.014946484820207709,5
2018-02-23,-0.0048569458511115386,0.0,-0.0048569458511115386,0.0,0.007900623837220344,0.007761018774647577,5
2018-02-26,-0.014782042175667896,0.0,-0.014782042175667896,0.0,-0.008737434129146182,-0.00890692993642381,5
2018-02-27,-0.008110850891370112,0.0,-0.008110850891370112,0.0,-0.015489058231785147,-0.01446915721591132,5
2018-02-28,0.0011580475404302298,0.0007031870343877183,0.00045486050604251146,0.2,-0.020669984263391394,-0.01863676475327294,5
2018-03-01,-0.0035574036997344963,0.0008090217870778899,-0.004366425486812386,0.2,0.007261210200757651,0.005797515157052765,5
2018-03-02,0.017430077955478487,0.0,0.017430077955478487,0.0,0.02080477239602696,0.019994844607510897,5
2018-03-05,-0.009124624178589502,0.002183175221576519,-0.011307799400166022,0.4,-0.010538116196238234,-0.009827194532797465,5
2018-03-06,-0.013801676234788762,0.0,-0.013801676234788762,0.0,0.011574468046645636,0.010150532071626639,5
2018-03-07,-0.01001581411629202,0.0,-0.01001581411629202,0.0,0.007859958071998685,0.007338363807158093,5
2018-03-08,0.007782933753919097,0.0014595549650589302,0.006323378788860167,0.2,0.012695225403364985,0.012056497395070564,5
2018-03-09,0.0005067682693820077,0.0011973846837290676,-0.0006906164143470599,0.2,0.0022917623133913434,0.0009705940282243117,5
2018-03-12,0.0008121051896560651,0.000909526903360976,-9.742171370491091e-05,0.2,-0.007254016625243165,-0.004956778123328623,5
2018-03-13,-0.006012432601532369,0.0020907929351568506,-0.00810322553668922,0.4,-0.006947101361910568,-0.008032665604104818,5
2018-03-14,0.001601112891079337,0.0,0.001601112891079337,0.0,-0.0010172874264977594,-0.0008956247680916401,5
2018-03-15,0.00426830922920729,0.0,0.00426830922920729,0.0,-0.004189373523000861,-0.001454171103516038,5
2018-03-16,-0.0030591074403432564,0.0007019533323157426,-0.003761060772658999,0.2,-0.008816581399125556,-0.006642665359106931,5
2018-03-19,0.006334690302350588,0.0,0.006334690302350588,0.0,-0.00014771750719178023,0.0003830389006768124,5
