epoch,seed,train_pinball,val_pinball
0,1338,1.686914898616278,1.432299371568426
1,1338,1.6831558297333584,1.4341166615486145
2,1338,1.6808202792453961,1.4395884650368844
3,1338,1.6798467198588207,1.4382667473006634
4,1338,1.6790735612016259,1.4286093529193633
5,1338,1.6782001352089195,1.4355197092217784
6,1338,1.6779603713664901,1.4304135525899548
7,1338,1.6771849943698987,1.4332270550151025
8,1338,1.676485811844545,1.4452863972513907
9,1338,1.6761480892723548,1.4335789949663225
10,1338,1.6754462666326153,1.4370168726290427
11,1338,1.6751973007476662,1.4280101438203165
12,1338,1.6749316710522197,1.4275578510376714
13,1338,1.6741119178758221,1.4273545375514416
14,1338,1.673680173488282,1.4261499691394068
15,1338,1.6733090894567242,1.4301469575974248
16,1338,1.6729041276582115,1.4319048492658524
17,1338,1.6727688585385971,1.4284826872810241
18,1338,1.6724599767879158,1.4295253477269603
19,1338,1.6722029875561089,1.4337010906348306
20,1338,1.671941357986075,1.4269103609746503
21,1338,1.6716176053215621,1.431619611478621
22,1338,1.6713275530679588,1.4334546840719637
0,1339,1.6877464147171448,1.432631804217254
1,1339,1.6825855773951317,1.4316351281539086
2,1339,1.6812429376230427,1.4313869862066162
3,1339,1.6802135092560222,1.4323067338235917
4,1339,1.6791067812150589,1.4324470623846977
5,1339,1.6783266741970417,1.4296810790415733
6,1339,1.6773628720938853,1.432062729231773
7,1339,1.6766730960224487,1.4294572225020779
8,1339,1.6760999440041924,1.4399590838340022
9,1339,1.675787867404651,1.439727335206924
10,1339,1.6754485605827443,1.4327198930325047
11,1339,1.6752944758236714,1.4420475593257336
12,1339,1.67469598498698,1.4288983175591115
13,1339,1.674443642047726,1.4274411899668555
14,1339,1.674193916372364,1.4287348442500638
15,1339,1.6738543219933426,1.430122018461266
16,1339,1.6735832049107575,1.4361083675776758
17,1339,1.6731408753275994,1.4338320446831565
18,1339,1.6731656188055122,1.4311937680167537
19,1339,1.6727528222189136,1.4314993677600738
20,1339,1.6723719695630943,1.4282002513927798
21,1339,1.6722078499538646,1.4304634989990341
