date,ret_gross,cost,ret_net,turnover,spy,n_held
2022-01-12,-0.016032724405436148,0.0016176800774286583,-0.017650404482864805,0.5,-0.02330384805352248,20
2022-01-13,-0.008385193263558539,0.0,-0.008385193263558539,0.0,-0.003149135711658757,20
2022-01-14,0.0003339191752315619,0.0,0.0003339191752315619,0.0,-0.0035049692162244517,20
2022-01-18,-0.008563561529838538,0.0001809389550691861,-0.008744500484907724,0.05,-0.009556866828647426,20
2022-01-19,-0.009333053171481004,0.0003797265470492653,-0.00971277971853027,0.1,-0.01803654034858182,20
2022-01-20,-0.019983582935400177,0.00022045440682872178,-0.0202040373422289,0.05,-0.030383059719248262,20
2022-01-21,-0.0005715993055345871,0.0004589172355900872,-0.0010305165411246744,0.1,0.0023801928692366303,20
2022-01-24,0.009778863337247357,0.0,0.009778863337247357,0.0,0.01769889840881267,20
2022-01-25,-0.007984811886460691,0.0,-0.007984811886460691,0.0,-0.005580545065306808,20
2022-01-26,-0.0064631673759930905,0.000215363245457562,-0.0066785306214506525,0.05,-0.012723446457512,20
2022-01-27,0.01909506900390802,0.0005762410259897737,0.018518827977918245,0.1,0.019772142594634445,20
2022-01-28,0.019484542004277326,0.0,0.019484542004277326,0.0,0.021382922492912293,20
2022-01-31,0.0038970582993602793,0.0,0.0038970582993602793,0.0,0.010702860368837053,20
2022-02-01,0.0064309279827455944,0.0005601583525010512,0.005870769630244544,0.1,-0.00998440663765221,20
2022-02-02,-0.011967849671025458,0.0009186606880248727,-0.012886510359050331,0.15000000000000002,-0.01020264234331647,20
2022-02-03,0.007360498508439956,0.0003864991698786289,0.006973999338561327,0.1,0.00707771233136989,20
2022-02-04,-0.002865683059978776,0.00022315132141244854,-0.0030888343813912245,0.05,-0.0061789538229328755,20
2022-02-07,0.010783213486651077,0.0,0.010783213486651077,0.0,0.01900806834361668,20
2022-02-08,-0.009738280423977924,0.0,-0.009738280423977924,0.0,-0.008523322698586466,20
2022-02-09,-0.004606438230653637,0.0005526602489407659,-0.005159098479594402,0.1,-0.004274809160305315,20
2022-02-10,-0.00999132634743382,0.0,-0.00999132634743382,0.0,-0.021111976033779123,20
2022-02-11,-0.00020106311704348224,0.0003998847400393412,-0.0006009478570828234,0.05,0.008651019326232579,20
2022-02-14,-0.002846020485802803,0.000366208424285528,-0.003212228910088331,0.05,0.00045392646391273495,20
2022-02-15,-9.252060569342452e-05,0.0,-9.252060569342452e-05,0.0,-0.0015999617919572051,20
2022-02-16,-0.005459307044515088,0.0,-0.005459307044515088,0.0,-0.013298572077782289,20
2022-02-17,-0.004110813807414498,0.0,-0.004110813807414498,0.0,-0.012435459239327984,20
2022-02-18,0.004437422644373695,0.0,0.004437422644373695,0.0,0.0017918507609229195,20
2022-02-22,-0.04175926007620036,0.0002314358856877316,-0.04199069596188809,0.05,-0.05003307769583221,20
2022-02-23,0.023327354432167085,0.00047970665145575684,0.022847647780711328,0.1,0.045239998968301,20
2022-02-24,0.010351892862500933,0.0,0.010351892862500933,0.0,0.005626156693399054,20
2022-02-25,0.0058509146418633815,0.00044892045053241336,0.005401994191330968,0.05,0.00696881211199174,20
2022-02-28,-0.0046822172849382785,0.00035279702652201615,-0.005035014311460295,0.05,-0.006140799766064742,20
2022-03-01,0.015681963243097702,0.0003537718827080545,0.015328191360389647,0.05,0.01873237709942388,20
2022-03-02,-0.01042528712048127,0.0003356553000934824,-0.010760942420574751,0.05,-0.0197838696478857,20
2022-03-03,0.01035735644954607,0.0,0.01035735644954607,0.0,-0.00046652098116728435,20
2022-03-04,-0.016338224129529417,0.0007744545804269147,-0.017112678709956333,0.15000000000000002,-0.02763584553404741,20
2022-03-07,0.0022035569652260165,0.0,0.0022035569652260165,0.0,0.013136952732233587,20
2022-03-08,-0.009029704121980465,0.00038520252097864766,-0.009414906642959114,0.05,-0.0061591402139490325,20
2022-03-09,0.011910857877728526,0.0004604298895864535,0.011450427988142073,0.05,0.013247691690084329,20
2022-03-10,-0.004292147250355389,0.00020579383140976453,-0.004497941081765154,0.05,-0.01688787638668776,20
2022-03-11,-0.0018001924321860926,0.0,-0.0018001924321860926,0.0,-0.0026447030376302028,20
2022-03-14,0.015471935156543081,0.0,0.015471935156543081,0.0,0.02409273429805281,20
2022-03-15,0.005366849898603076,0.0004269982463645611,0.004939851652238515,0.1,0.008606446203546225,20
2022-03-16,0.009849619304347225,0.0,0.009849619304347225,0.0,0.01332518337408306,20
2022-03-17,0.011198415736476014,0.0,0.011198415736476014,0.0,0.014477017734346731,20
2022-03-18,0.006666694013203755,0.0,0.006666694013203755,0.0,0.003401117849922697,20
2022-03-21,-0.00020637350539927656,0.00025583669672429296,-0.0004622102021235695,0.05,0.0023703422774248306,20
2022-03-22,0.0013078894532012057,0.0002594574672429176,0.0010484319859582882,0.05,-0.002175558077941786,20
2022-03-23,0.0078030618810117315,0.0,0.0078030618810117315,0.0,0.011707270831358363,20
2022-03-24,0.005964330493525094,0.0003817490231774621,0.005582581470347632,0.05,0.001991098617943443,20
2022-03-25,0.010208485733952756,0.0,0.010208485733952756,0.0,0.017603740502629917,20
2022-03-28,0.005421135386346465,0.0,0.005421135386346465,0.0,0.0007121852600624479,20
2022-03-29,-0.00046079185168254594,0.0,-0.00046079185168254594,0.0,-0.005326109414816704,20
2022-03-30,-0.007139116327883683,0.0,-0.007139116327883683,0.0,-0.010016848616336227,20
2022-03-31,0.0020937794268875596,0.0,0.0020937794268875596,0.0,-0.00039633506632785753,20
2022-04-01,-0.005368893829517807,0.0,-0.005368893829517807,0.0,0.0046179680940385825,20
2022-04-04,2.4095861167754043e-06,0.0,2.4095861167754043e-06,0.0,-0.018294098528114366,20
2022-04-05,0.015654522122020342,0.0,0.015654522122020342,0.0,-0.0029087641299720968,20
2022-04-06,0.014408113953970547,0.0,0.014408113953970547,0.0,0.005336432417048176,20
2022-04-07,0.003938834995442619,0.0008161097394375443,0.003122725256005075,0.15000000000000002,-0.008610927621024778,20
2022-04-08,-0.010559571529627382,0.0,-0.010559571529627382,0.0,-0.002332056254908066,20
2022-04-11,-0.0022582902918729443,0.0,-0.0022582902918729443,0.0,-0.011377459749552732,20
2022-04-12,0.002921979135873343,0.0,0.002921979135873343,0.0,0.012594093804284778,20
2022-04-13,-0.005219082949163728,0.0,-0.005219082949163728,0.0,-0.01520133428639503,20
2022-04-14,0.002389217124424731,0.0,0.002389217124424731,0.0,0.002419432884931849,20
2022-04-18,0.010470202057441832,0.0,0.010470202057441832,0.0,0.02068449507626946,20
2022-04-19,0.01289957997778398,0.0002361613196793988,0.01266341865810458,0.05,0.0036179621178085153,20
2022-04-20,-0.012984593637002934,0.00012890910064963679,-0.01311350273765257,0.05,-0.02591772301022577,20
2022-04-21,-0.020885317067150105,0.0,-0.020885317067150105,0.0,-0.030308161192008187,20
2022-04-22,-0.0030386703349374765,0.00019703889132088192,-0.003235709226258358,0.05,0.005088677692135057,20
2022-04-25,-0.00616180436896061,0.0002531309108954911,-0.006414935279856101,0.05,-0.020177201995383753,20
2022-04-26,0.004164850375466677,0.0,0.004164850375466677,0.0,0.012107396149949379,20
2022-04-27,0.00015960606573025573,0.0,0.00015960606573025573,0.0,0.003078232143751025,20
2022-04-28,-0.02169536171425585,0.0,-0.02169536171425585,0.0,-0.027194930266210893,20
2022-04-29,-0.006100633903458158,0.00020940023188059718,-0.006310034135338756,0.05,0.0071298504783154915,20
2022-05-02,-0.00022572480068918104,0.0001970448444717717,-0.00042276964516095274,0.05,0.004991214443963443,20
2022-05-03,0.019413577216763254,0.0,0.019413577216763254,0.0,0.017914607880400446,20
2022-05-04,-0.018940524881531223,0.0,-0.018940524881531223,0.0,-0.03168873842477349,20
2022-05-05,0.0005228339347909002,0.0,0.0005228339347909002,0.0,-0.014576210185351823,20
2022-05-06,-0.0018096830163310043,0.0,-0.0018096830163310043,0.0,-0.0015130961076906813,20
2022-05-09,-0.012626614607531386,0.0,-0.012626614607531386,0.0,-0.015885457490724786,20
2022-05-10,-0.005836480177051241,0.00021041147548983116,-0.006046891652541072,0.05,-0.021849944246800868,20
2022-05-11,0.004844562978527674,0.0,0.004844562978527674,0.0,0.018863827592758398,20
2022-05-12,0.005551066693067048,0.0,0.005551066693067048,0.0,0.008231658585966306,20
2022-05-13,0.012337651993087484,0.0,0.012337651993087484,0.0,0.016381747562554505,20
2022-05-16,0.00014733951797610812,0.0002480325412599776,-0.0001006930232838695,0.05,-0.007460940546442418,20
2022-05-17,-0.03559130350003049,0.0,-0.03559130350003049,0.0,-0.03687794656888421,20
2022-05-18,0.0013679732132164,0.0,0.0013679732132164,0.0,0.011911236810616677,20
2022-05-19,0.006732082964403696,0.0002208936571009323,0.006511189307302764,0.05,-0.001048105348024797,20
2022-05-20,0.006658255462531016,0.0,0.006658255462531016,0.0,-0.0006994700169487,20
2022-05-23,0.012907155051723886,0.0,0.012907155051723886,0.0,-0.0006461165701978633,20
2022-05-24,0.0034601506323717673,0.0,0.0034601506323717673,0.0,0.016217235527060225,20
2022-05-25,0.000737700627474036,0.00021910592504247137,0.0005185947024315647,0.05,0.023195398033030168,20
2022-05-26,0.005438040926146292,0.0,0.005438040926146292,0.0,0.013809005647960948,20
2022-05-27,-0.002831240506245148,0.0,-0.002831240506245148,0.0,0.003935498709463081,20
