epoch,seed,train_pinball,val_pinball
0,1338,1.6966582042833795,1.684304478703713
1,1338,1.672718108274124,1.6649172775599421
2,1338,1.6544056006025027,1.616011879882034
3,1338,1.6439588202518132,1.6106750665878764
4,1338,1.6430675992324966,1.6047202110290528
5,1338,1.6319122710292497,1.621076755377711
6,1338,1.6307612396867448,1.6066388171546313
7,1338,1.619573848865211,1.6075117001728136
8,1338,1.6233291480387075,1.631186196025537
9,1338,1.6200230442105914,1.609566097356835
10,1338,1.6131271710700328,1.6129950194942708
11,1338,1.605185390935127,1.6077205782033959
12,1338,1.6022519431574387,1.6108034112015548
13,1338,1.5971319293158268,1.6569112242484578
14,1338,1.593419140739335,1.6066239186695643
15,1338,1.5838582442916986,1.6120727054926813
16,1338,1.584134995946993,1.6145356523747347
0,1339,1.6975487995180003,1.6279150386245884
1,1339,1.6707184723340702,1.626916805822022
2,1339,1.664031983316712,1.6426799959065963
3,1339,1.6444120932801358,1.6108163235138873
4,1339,1.6362770709168724,1.6050555506531072
5,1339,1.6255555385771205,1.615710782274908
6,1339,1.6272333966281354,1.6034279662735609
7,1339,1.6238511648323986,1.6238632537880722
8,1339,1.618154103077859,1.6190776936861933
9,1339,1.6107448921674166,1.6060507494576124
10,1339,1.6089021364882727,1.603647561462558
11,1339,1.6040109293632625,1.6117831969747738
12,1339,1.6003102391524047,1.6079578441016529
13,1339,1.5966733902763484,1.61043580624522
14,1339,1.5934255382511686,1.609071009499686
15,1339,1.5889339149947663,1.613490697315761
16,1339,1.583593453882501,1.6072203645900804
17,1339,1.5799352474978035,1.605741171204314
18,1339,1.5754489739493218,1.6160047545724985
0,1340,1.680487606770045,1.6409597764209825
1,1340,1.6628982357092725,1.6266021183558872
2,1340,1.6530509854444337,1.6122834441613179
3,1340,1.6446221095739784,1.6066822903496878
4,1340,1.6328465250452924,1.6085775358336312
5,1340,1.6343539971026588,1.6051811096619586
6,1340,1.6270138238369158,1.6145159731105883
7,1340,1.626847898523691,1.6153423073340436
8,1340,1.619611510454697,1.6172995985770713
9,1340,1.615229117194642,1.6092152335205856
10,1340,1.6162095120127868,1.6116153726772386
11,1340,1.6118801127096607,1.6068858261011085
12,1340,1.6045494603385146,1.6219052925401805
13,1340,1.6011116895895203,1.6119084645290764
14,1340,1.5974845669978608,1.6174153736659458
15,1340,1.5926965406000526,1.6099651468043426
16,1340,1.5929277853149002,1.6383321538263438
17,1340,1.5891920390796774,1.6192319621845168
