date,ret_gross,cost,ret_net,turnover,spy,n_held
2023-01-12,0.01588865363110741,0.0013925748011916433,0.014496078829915765,0.5,0.012350259726492174,5
2023-01-13,-0.003011055824907083,0.0,-0.003011055824907083,0.0,0.0013351484370909272,5
2023-01-17,-0.027796850809978495,0.0,-0.027796850809978495,0.0,-0.024183638787942163,5
2023-01-18,0.0015211149586399578,0.0,0.0015211149586399578,0.0,0.0019022612796055771,5
2023-01-19,0.02018855835726019,0.0009110571218183347,0.019277501235441856,0.2,0.016980879796764325,5
2023-01-20,-0.015262282038466315,0.0,-0.015262282038466315,0.0,0.0054430712595319175,5
2023-01-23,0.01207833914704379,0.0,0.01207833914704379,0.0,-0.0073489028951015944,5
2023-01-24,0.025764327347914808,0.0,0.025764327347914808,0.0,0.018126251449046338,5
2023-01-25,0.009015670993536774,0.0,0.009015670993536774,0.0,0.0012938619190558942,5
2023-01-26,-0.0017891203194245757,0.0,-0.0017891203194245757,0.0,-0.002119191605933768,5
2023-01-27,-0.00675243476513685,0.0,-0.00675243476513685,0.0,-0.004143789495493655,5
2023-01-30,0.011859571095236077,0.0,0.011859571095236077,0.0,0.010194528243004264,5
2023-01-31,0.029620677357763858,0.0,0.029620677357763858,0.0,0.02381320152404487,5
2023-02-01,-0.01609739249138913,0.0008020976074165555,-0.016899490098805686,0.2,-0.00789559707309706,5
2023-02-02,0.0028649215221141057,0.0,0.0028649215221141057,0.0,-0.0043593967811431655,5
2023-02-03,-0.004798386569405722,0.0,-0.004798386569405722,0.0,-0.002265611078583585,5
2023-02-06,0.013247384342530701,0.0,0.013247384342530701,0.0,0.01043527070469974,5
2023-02-07,-6.33442652861804e-05,0.0,-6.33442652861804e-05,0.0,0.003080574703936634,5
2023-02-08,-0.02759675064171816,0.0,-0.02759675064171816,0.0,-0.020616740088105767,5
2023-02-09,0.0072734955444935245,0.0,0.0072734955444935245,0.0,0.00704261553487906,5
2023-02-10,0.006793734709213561,0.0,0.006793734709213561,0.0,0.006176620724859694,5
2023-02-13,0.0023246182682421287,0.0,0.0023246182682421287,0.0,-0.002181523007457775,5
2023-02-14,0.0015030524891143982,0.0,0.0015030524891143982,0.0,-0.0037878787878787845,5
2023-02-15,-0.01056113908537588,0.0,-0.01056113908537588,0.0,-0.006685890729068333,5
2023-02-16,-0.012292348303215395,0.0,-0.012292348303215395,0.0,-0.0073988439306358345,5
2023-02-17,-0.008311160226751291,0.0,-0.008311160226751291,0.0,-0.008773973134560076,5
2023-02-21,0.006811122032659856,0.0,0.006811122032659856,0.0,0.005117760718575282,5
