epoch,seed,train_pinball,val_pinball
0,1338,1.6935874410457425,1.7212159509052996
1,1338,1.6498792270174274,1.730420708656311
2,1338,1.6570557837749456,1.8024173857735806
3,1338,1.6432910015830746,1.7907430891130791
4,1338,1.627541280315294,1.6800647045745225
5,1338,1.6293329107877497,1.7334460555041422
6,1338,1.6228276235716683,1.6861295863741734
7,1338,1.6192417071237193,1.6851830338356926
8,1338,1.6184664331860357,1.7298184440272752
9,1338,1.611386622894894,1.7854276255505983
0,1339,1.6937770056840662,1.7039230255807032
1,1339,1.6767450261425663,1.6956925616889704
2,1339,1.645844415701055,1.6876250290479817
3,1339,1.637538579377261,1.7299121781939366
4,1339,1.621209863718454,1.6729965354086922
5,1339,1.6267722588661429,1.7038413887141182
6,1339,1.6200065456040493,1.6942182249221645
7,1339,1.60693087157878,1.6746551164838135
8,1339,1.5991046544793364,1.6601677339096539
9,1339,1.5945976918393916,1.6722838001661613
10,1339,1.582747146487236,1.6806011918138286
11,1339,1.5857299083432594,1.6802381809617652
12,1339,1.571088163012808,1.6732237295049135
13,1339,1.567870471723281,1.6853308438277634
0,1340,1.6930687812628684,1.8053542360907695
1,1340,1.6517356968932337,1.6800427617596798
2,1340,1.643031279665309,1.7943138458201142
3,1340,1.64105139527615,1.6653563927431576
4,1340,1.6260954524789537,1.7107832529505744
5,1340,1.6263253203073105,1.7037460366722013
6,1340,1.6257031862805416,1.7343448871960405
7,1340,1.625125575955812,1.7643337425638417
8,1340,1.623046805525755,1.7757139535712414
